,timestamp_added,reward_scale,owner,nonce,name,location,last_poc_challenge,last_change_block,gain,elevation,block_added,block,address,lng,lat,short_street,short_state,short_country,short_city,long_street,long_state,long_country,long_city,city_id,online,listen_addrs,height
5834,2021-03-17T14:07:37.000000Z,1.0,14BT97xnPZ9YfmeTxmuMhstxB8zHS8FeTUDxqPp38duW7NPHNCg,1,long-coal-tadpole,8c0880ca44335ff,819486.0,819536,12.0,0.0,763805,819636,112jT3Xg5QDgP7jZtUoBbtyA2EUFhKQFhjMMxtCJBC6Wyaok3Xpr,17.69278993202512,59.87029948060288,Timjansgatan,Uppsala län,SE,Årsta,Timjansgatan,Uppsala län,Sweden,Årsta,w6Vyc3RhdXBwc2FsYSBsw6Ruc3dlZGVu,online,['/p2p/112Akj9RZfHJYbetbr1fhDCUmpYULPhEqgxy8LJnpwzvA4umQfDh/p2p-circuit/p2p/112jT3Xg5QDgP7jZtUoBbtyA2EUFhKQFhjMMxtCJBC6Wyaok3Xpr'],819597.0
6062,2021-03-16T18:15:47.000000Z,1.0,13Wwpbanr8rMrGPBYajqDTHsScYJAVuXJwSP2hLD3nQk74Zm55y,1,refined-lavender-moose,8c08866e46b17ff,819464.0,819514,12.0,0.0,762733,819636,11r7w13avxnXea4Hm9NtXCw81tnesVD7DYX7PAqK2TMaW36aDU8,18.138091231693274,59.35152725722644,Bodalsvägen,Stockholms län,SE,Baggeby-Larsberg,Bodalsvägen,Stockholms län,Sweden,Baggeby-Larsberg,YmFnZ2VieS1sYXJzYmVyZ3N0b2NraG9sbXMgbMOkbnN3ZWRlbg,online,['/ip4/78.67.206.121/tcp/44158'],819593.0
6528,2021-03-15T09:25:34.000000Z,1.0,14a1EcchN6gaqHzSh9u2NMuNCSzqWhxU11TWbsJG8Sn9q98bkCL,1,overt-cornflower-goblin,8c1f25068a629ff,819571.0,819621,12.0,0.0,760613,819636,11z8F1A4Zq2jtsNm8yfZHFBF1R7MV1gTATdtd6yeUMSjnnZwkJ,11.973904687892723,57.685035459559245,Doktor Allards Gata,Västra Götalands län,SE,Guldheden,Doktor Allards Gata,Västra Götalands län,Sweden,Guldheden,Z3VsZGhlZGVudsOkc3RyYSBnw7Z0YWxhbmRzIGzDpG5zd2VkZW4,online,['/ip4/188.148.171.178/tcp/44158'],819614.0
8278,2021-03-09T14:07:35.000000Z,1.0,14HzZRyju96jHNPjnk3KZFuz8scmK9q4MTJPr7bYdFEo6WYJEmM,1,high-coconut-beetle,8c08b615392d7ff,819507.0,819619,12.0,0.0,751838,819636,112LDCcMLobkc9TrJsq4cynFUtybQpa1hJNztu68fmvXKZ6kza4V,13.395389730457092,57.8067912661496,CARLSHÖJD,Västra Götalands län,SE,Ulricehamn,CARLSHÖJD,Västra Götalands län,Sweden,Ulricehamn,dWxyaWNlaGFtbnbDpHN0cmEgZ8O2dGFsYW5kcyBsw6Ruc3dlZGVu,online,['/p2p/118JCk9dTYeisvQsuCSkVDmD3dd82z6SYK3AEuxUpTwiNqoxtRj/p2p-circuit/p2p/112LDCcMLobkc9TrJsq4cynFUtybQpa1hJNztu68fmvXKZ6kza4V'],819618.0
8666,2021-03-07T23:00:29.000000Z,1.0,13W2BQ5FxQEV4C3PR9nYEC6kywKfNYFFVmHo38UgpLxusX9buCd,1,soaring-opal-troll,8c088660309d3ff,819404.0,819633,12.0,0.0,749863,819636,11RB1Bv7vmDN1qvmx2USgN28ie9aNEQSe4WWe3YRkTtwpZgtnx3,18.025951663024422,59.33644850384059,Alströmergatan,Stockholms län,SE,Kungsholmen,Alströmergatan,Stockholms län,Sweden,Kungsholmen,a3VuZ3Nob2xtZW5zdG9ja2hvbG1zIGzDpG5zd2VkZW4,online,['/ip4/85.230.72.83/tcp/44158'],819600.0
8668,2021-03-07T22:43:04.000000Z,0.3125,13W2BQ5FxQEV4C3PR9nYEC6kywKfNYFFVmHo38UgpLxusX9buCd,1,acrobatic-smoke-mule,8c088661b596dff,819608.0,819631,12.0,0.0,749850,819636,112iZBpvGreu21uye3UvZXhLYFtehgJ1bk68KcTzLjVnYeYVSDAU,18.121805433786122,59.31527878263534,Östra Finnbodavägen,Stockholms län,SE,Nacka,Östra Finnbodavägen,Stockholms län,Sweden,Nacka,bmFja2FzdG9ja2hvbG1zIGzDpG5zd2VkZW4,online,['/p2p/112Lz2UVwtfE8MnqSNtzxSVRGtL1xjj1uHpSdnw3hGcBRMcvf4Ep/p2p-circuit/p2p/112iZBpvGreu21uye3UvZXhLYFtehgJ1bk68KcTzLjVnYeYVSDAU'],819609.0
8717,2021-03-07T13:31:34.000000Z,0.625,14TMreJAyUEZvLyQiG1sa9R3Q3hLjfH2A5MMrMCTVw4VDizpQgW,1,long-clear-koala,8c088661c4f61ff,819417.0,819633,12.0,0.0,749460,819636,11b3AmiPk8enABskUR1WbzzayTTGqHc5daGKBTF3yQBGJrs2Yob,18.048088545782107,59.316266141415966,Krukmakargatan,Stockholms län,SE,Södermalm,Krukmakargatan,Stockholms län,Sweden,Södermalm,c8O2ZGVybWFsbXN0b2NraG9sbXMgbMOkbnN3ZWRlbg,online,['/ip4/37.46.170.25/tcp/44158'],819615.0
8722,2021-03-07T10:34:42.000000Z,1.0,13Wwpbanr8rMrGPBYajqDTHsScYJAVuXJwSP2hLD3nQk74Zm55y,1,interesting-concrete-stallion,8c1f2d79974b1ff,796319.0,803764,,,749285,819636,112dfmuDkcTcYkL7ALow3v4gZmdtgWTsqQAA4677rznzZVH12AcJ,16.32614604851148,56.71267836646695,Värsnäsvägen,Kalmar län,SE,Berga-Bergavik,Värsnäsvägen,Kalmar län,Sweden,Berga-Bergavik,YmVyZ2EtYmVyZ2F2aWtrYWxtYXIgbMOkbnN3ZWRlbg,offline,,796392.0
8761,2021-03-06T23:19:32.000000Z,0.625,13W2BQ5FxQEV4C3PR9nYEC6kywKfNYFFVmHo38UgpLxusX9buCd,1,polite-burlap-caribou,8c0886619b72dff,819435.0,819619,12.0,0.0,748664,819636,11Q95D4U65TeG893Dn4pGuXcLNA9NswPx4vCYESzr4gH1m2noKb,18.094428530235632,59.34774220902542,Rindögatan,Stockholms län,SE,Östermalm,Rindögatan,Stockholms län,Sweden,Östermalm,w7ZzdGVybWFsbXN0b2NraG9sbXMgbMOkbnN3ZWRlbg,online,['/ip4/84.216.52.106/tcp/44158'],819612.0
8844,2021-03-06T17:35:53.000000Z,1.0,13Wwpbanr8rMrGPBYajqDTHsScYJAVuXJwSP2hLD3nQk74Zm55y,1,silly-bamboo-seagull,8c1f2d6844cc5ff,796197.0,815849,12.0,0.0,748408,819636,112dBuKoQsRB6a7ZC54UtX78LczeFjGT8hEeDna1kYKuuUE2Y8wm,16.370694563064426,56.66425514838813,Skeppsbrogatan,Kalmar län,SE,Kalmar,Skeppsbrogatan,Kalmar län,Sweden,Kalmar,a2FsbWFya2FsbWFyIGzDpG5zd2VkZW4,offline,,796441.0
